publicid,eventtype,datetime,modificationtime,longitude, latitude, magnitude, depth,magnitudetype,depthtype,evaluationmethod,evaluationstatus,evaluationmode,earthmodel,usedphasecount,usedstationcount,magnitudestationcount,minimumdistance,azimuthalgap,originerror,magnitudeuncertainty
2017p377972,earthquake,2017-05-20T20:23:41.452Z,2017-05-21T07:15:07.369Z,173.414313,-42.50378141,2.763172604,10.15625,M,,NonLinLoc,confirmed,manual,nz3drx,16,11,6,0.1274829537,158.2780494,0.5462173745,0
2017p377887,earthquake,2017-05-20T19:38:31.876Z,2017-05-21T18:55:58.965Z,175.4368439,-39.27336884,1.626651431,5,M,operator assigned,LOCSAT,confirmed,manual,iasp91,9,9,5,0.09199216962,306.0037193,0.3558284549,0
2017p377885,earthquake,2017-05-20T19:37:35.449Z,2017-05-21T07:13:27.068Z,173.4426117,-42.19786835,3.603145751,19.49522591,M,,LOCSAT,confirmed,manual,iasp91,15,8,6,0.5914723277,148.9476204,0.8822585738,0
2017p377810,,2017-05-20T18:57:33.793Z,2017-05-20T18:59:35.370Z,172.0568467,-43.59912681,1.674703224,9.921875,M,,NonLinLoc,,automatic,nz3drx,11,11,3,0.141975101,75.7159236,0.5791240771,0
2017p377802,,2017-05-20T18:53:16.691Z,2017-05-20T18:55:36.706Z,172.0397499,-43.60531937,2.109363461,8.046875,M,,NonLinLoc,,automatic,nz3drx,16,16,7,0.1423972209,54.45459097,0.7757074352,0
2017p377777,,2017-05-20T18:40:04.386Z,2017-05-20T18:41:49.236Z,172.0330988,-43.60679977,1.98076357,8.984375,M,,NonLinLoc,,automatic,nz3drx,13,13,4,0.1437021719,55.20725581,0.6645834084,0
2017p377701,earthquake,2017-05-20T17:59:24.693Z,2017-05-20T23:58:40.455Z,176.208374,-38.61079025,1.629848011,5,M,operator assigned,LOCSAT,confirmed,manual,iasp91,11,11,9,0.0649728775,78.49822998,0.2280167517,0
2017p377642,earthquake,2017-05-20T17:27:55.583Z,2017-05-21T07:10:00.627Z,166.6979065,-45.49438477,3.715260026,6.635538101,M,,LOCSAT,confirmed,manual,iasp91,18,11,8,0.3219286501,226.0084686,0.6414606289,0
2017p377592,,2017-05-20T17:01:16.477Z,2017-05-20T17:03:35.700Z,178.3499503,-37.50918867,2.159322201,19.0625,M,,NonLinLoc,,automatic,nz3drx,12,12,4,0.06665752113,259.492807,0.7761448101,0
2017p377563,,2017-05-20T16:47:11.838Z,2017-05-20T22:19:26.399Z,175.7002028,-38.92966171,1.202637283,5.234375,M,,NonLinLoc,,automatic,nz3drx,10,10,7,0.08422395793,177.8932092,0.6949817643,0
2017p377557,earthquake,2017-05-20T16:43:09.440Z,2017-05-20T20:20:08.495Z,175.7064362,-38.91747284,1.315435882,5,M,operator assigned,LOCSAT,confirmed,manual,iasp91,10,10,6,0.05805301666,200.5535851,0.08066547822,0
2017p377540,earthquake,2017-05-20T16:33:17.993Z,2017-05-20T20:20:44.259Z,175.7077484,-38.92103958,1.319299909,5,M,operator assigned,LOCSAT,confirmed,manual,iasp91,9,9,7,0.05471662804,197.3951874,0.2430389512,0
2017p377523,,2017-05-20T16:24:21.650Z,2017-05-20T16:26:17.293Z,172.4051229,-43.59319117,2.103790355,10.15625,M,,NonLinLoc,,automatic,nz3drx,12,12,1,0.213908251,97.97232777,0.708845683,0
2017p377510,,2017-05-20T16:17:26.723Z,2017-05-20T22:17:13.522Z,172.9852906,-42.96539932,2.531740584,10.15625,M,,NonLinLoc,,automatic,nz3drx,13,13,4,0.03642262336,104.7234162,0.4846885302,0
2017p377471,,2017-05-20T15:56:53.873Z,2017-05-20T16:01:20.749Z,168.8040389,-44.12594158,1.998445959,5.46875,M,,NonLinLoc,,automatic,nz3drx,14,14,2,0.05356431858,114.9509113,0.9840158975,0
2017p377464,,2017-05-20T15:53:18.910Z,2017-05-20T15:56:05.069Z,173.7160674,-42.21884553,2.555575083,27.96875,M,,NonLinLoc,,automatic,nz3drx,21,21,6,0.2374293816,150.5802206,0.9603462135,0
2017p377426,,2017-05-20T15:32:46.529Z,2017-05-20T15:36:33.935Z,176.7560565,-38.54446046,2.786171321,48.59375,M,,NonLinLoc,,automatic,nz3drx,60,60,37,0.06871913031,66.63516183,1.258923082,0
